marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat
nissan,almera,1.5 tekna,2005,benzin,duz,1498 cc,98 hp,223.500 km,"2 degisen, 5 boyali",takasa uygun degil,sahibinden,75.000 TL
nissan,micra,1.5 dci passion,2006,dizel,duz,1461 cc,82 hp,198.000 km,belirtilmemis,takasa uygun degil,sahibinden,93.500 TL
nissan,almera,1.5 comfort,2001,lpg & benzin,duz,1497 cc,90 hp,310.000 km,"1 degisen, 2 boyali",takasa uygun degil,sahibinden,63.550 TL
nissan,primera,1.6 tekna,2004,lpg & benzin,duz,1596 cc,109 hp,288.000 km,"2 degisen, 3 boyali",takasa uygun degil,sahibinden,82.500 TL
nissan,almera,1.5 comfort,2000,lpg & benzin,duz,1497 cc,90 hp,290.000 km,"2 degisen, 10 boyali",takasa uygun degil,sahibinden,65.000 TL
nissan,micra,1.2 passion,2012,benzin,otomatik,1198 cc,80 hp,95.000 km,tamami orjinal,takasa uygun degil,sahibinden,160.000 TL
nissan,micra,1.2 street,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,28.800 km,belirtilmemis,takasa uygun,galeriden,172.750 TL
nissan,primera,1.6 gx,1998,lpg & benzin,duz,1597 cc,100 hp,325.000 km,belirtilmemis,takasa uygun degil,galeriden,63.500 TL
nissan,micra,1.2 passion,2009,lpg & benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,163.000 km,belirtilmemis,takasa uygun,galeriden,127.900 TL
nissan,micra,1.2 passion,2010,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,166.000 km,belirtilmemis,takasa uygun,galeriden,128.900 TL
nissan,almera,1.8 luxury,2000,lpg & benzin,otomatik,1769 cc,114 hp,315.000 km,5 boyali,takasa uygun,sahibinden,75.000 TL
nissan,primera,1.6 tekna,2005,lpg & benzin,duz,1596 cc,109 hp,158.000 km,belirtilmemis,takasa uygun degil,galeriden,85.000 TL
nissan,micra,1.3 gx,1998,benzin,otomatik,1201 - 1400 cm3,51 - 75 hp,168.000 km,belirtilmemis,takasa uygun,galeriden,66.750 TL
nissan,almera,1.5 tekna,2005,lpg & benzin,duz,1498 cc,98 hp,191.000 km,tamami orjinal,takasa uygun degil,sahibinden,92.000 TL
nissan,almera,1.5 tekna,2007,lpg & benzin,duz,1498 cc,98 hp,111.000 km,4 boyali,takasa uygun degil,sahibinden,98.000 TL
nissan,micra,1.2 tekna,2011,benzin,otomatik,1198 cc,80 hp,122.000 km,"1 degisen, 7 boyali",takasa uygun degil,sahibinden,126.000 TL
nissan,micra,1.2 match,2015,benzin,otomatik,1198 cc,80 hp,20.000 km,belirtilmemis,takasa uygun degil,sahibinden,200.000 TL
nissan,micra,1.2 tekna,2009,benzin,otomatik,1240 cc,80 hp,69.000 km,belirtilmemis,takasa uygun degil,galeriden,116.000 TL
nissan,micra,1.2 street,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,25.000 km,belirtilmemis,takasa uygun,galeriden,189.000 TL
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,370.000 km,1 boyali,takasa uygun,galeriden,60.000 TL
nissan,note,1.5 dci tekna,2014,dizel,duz,1461 cc,90 hp,129.000 km,belirtilmemis,takasa uygun,sahibinden,145.000 TL
