marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat,url
nissan,micra,1.2 passion,2007,benzin,duz,1240 cc,80 hp,69.000 km,belirtilmemis,takasa uygun,galeriden,100.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/gk-auto-nissan-micra-sorunsuz-bakimli-orj-km/18612699
nissan,micra,1.2 passion,2006,benzin,otomatik,1240 cc,80 hp,145.000 km,belirtilmemis,takasa uygun degil,galeriden,115.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/otomix-2006-nissan-micra-1-2-tam-otomatik-145000-km-bakimli/18612506
nissan,micra,1.2 tekna,2005,benzin,otomatik,1201 - 1400 cm3,76 - 100 hp,134.000 km,belirtilmemis,takasa uygun degil,galeriden,117.900 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/otomix-2005-nissan-micra-tam-otomatik-cok-temiz-full-full/15062341
nissan,note,1.6 tekna,2007,lpg & benzin,otomatik,1598 cc,110 hp,130.000 km,belirtilmemis,takasa uygun,galeriden,132.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-note-1-6-tekna/2007-model-130-bin-km-note-1-6-tekna-lpg-li-otomatik-vites/18611561
nissan,micra,1.2 passion,2012,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,32.393 km,belirtilmemis,takasa uygun,galeriden,156.750 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-passion/2012-model-micra-1-2-passion-cvt-kredi-takas-imkani/18611551
nissan,micra,1.2 tekna,2011,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,53.373 km,belirtilmemis,takasa uygun,galeriden,150.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/2011-model-micra-1-2-tekna-cvt-kredi-takas-imkani/18611534
nissan,micra,1.2 street,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,22.500 km,2 boyali,takasa uygun,galeriden,174.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/2015-micra-1-2-otomatik-orijinal-22-500-km/18611367
nissan,pulsar,1.2 visia,2016,benzin,yari otomatik,1200 cm3' e kadar,101 - 125 hp,54.000 km,belirtilmemis,takasa uygun,galeriden,198.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-pulsar-1-2-visia/kamer-den-2016-model-nissan-pulsar-1-2-visia-benzin-otomatik/18611073
nissan,micra,1.2 street,2016,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,91.000 km,belirtilmemis,takasa uygun,galeriden,174.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-street/kamer-den-2016-model-nissan-micra-1-2-street-benzin-otomatik/18611069
nissan,micra,1.2 match,2014,benzin,duz,1198 cc,80 hp,29.000 km,belirtilmemis,takasa uygun,galeriden,139.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/trde-tek-29-000km-nav-geri-gorus-double-ekran-1-2-2014-match/18607593
